"condition","n_words","distress_extremes","non_distress_words","distress_pct","relief_extremes","non_relief_words","relief_pct"
"3",30,3,27,10,10,20,33.3333333333333
"2",57,1,56,1.75438596491228,23,34,40.3508771929825
"1",48,0,48,0,26,22,54.1666666666667
