"comparison","p_mixed_CR2","p_mixed_CR2_bonferroni","p_lm_CR2","p_lm_CR2_bonferroni"
"1 vs 2",0.700335556590841,1,0.70033555659084,1
"1 vs ref",0.0510756299932058,0.153226889979617,0.0510756299932041,0.153226889979612
"2 vs ref",0.0754964117274878,0.226489235182463,0.0754964117274864,0.226489235182459
