"comparison","tail","condition_a","condition_b","p_value","odds_ratio","conf_low","conf_high","bonferroni_p_value"
"1_vs_3","relief","1","3",0.816955803579198,1.17928003829093,0.429468667229968,3.24984254868433,1
"2_vs_3","relief","2","3",1,0.965892447922291,0.363299660170503,2.56663416897939,1
"1_vs_2","relief","1","2",0.696074956922383,1.22166070677183,0.529054921332508,2.83697259929895,1
