"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",-0.0596509777044088,0.0144617459684341,0,-4.12474246433385,4.17699625252234,0.0133132387217249
"condition1",-0.0573766550861571,0.0204064496254108,0,-2.81169219238949,9.16453931664086,0.01997501010922
"condition2",-0.0325511916097849,0.0207333433423081,0,-1.56999240654842,8.71045165180109,0.151981609426996
