"comparison","tail","condition_a","condition_b","p_value","odds_ratio","conf_low","conf_high","bonferroni_p_value"
"1_vs_3","distress","1","3",1,0,0,62.3401923779374,1
"2_vs_3","distress","2","3",1,0,0,Inf,1
"1_vs_2","distress","1","2",0.457142857142857,0,0,32.8424304544291,1
