"comparison","tail","condition_a","condition_b","p_value","odds_ratio","conf_low","conf_high","bonferroni_p_value"
"1_vs_3","relief","1","3",0.102427018005692,0.427844120946482,0.145416515244007,1.19857561519484,0.307281054017076
"2_vs_3","relief","2","3",0.643325242695386,0.741682729231913,0.259461686774125,2.03282351141949,1
"1_vs_2","relief","1","2",0.174265676382379,0.575481728475548,0.244948574870188,1.33414103145119,0.522797029147137
