"comparison","p_mixed_CR2","p_mixed_CR2_bonferroni","p_lm_CR2","p_lm_CR2_bonferroni"
"1 vs 2",0.230151254585343,0.690453763756028,0.230151254585342,0.690453763756026
"1 vs ref",0.00492816389648401,0.014784491689452,0.00492816389648372,0.0147844916894511
"2 vs ref",0.116416877866607,0.34925063359982,0.116416877866603,0.34925063359981
