"comparison","tail","condition_a","condition_b","p_value","odds_ratio","conf_low","conf_high","bonferroni_p_value"
"1_vs_3","distress","1","3",0.0533676849466323,Inf,0.681109148097219,Inf,0.160103054839897
"2_vs_3","distress","2","3",0.116279069767442,6.08498188643703,0.464131902409451,331.658319484469,0.348837209302326
"1_vs_2","distress","1","2",1,Inf,0.0216077302631579,Inf,1
