word,x_plot,y_plot,label_size,alpha
acceptable,-13.927711067199708,-5.2152611870344545,7.0,0.55
amusing,-16.06882339477539,0.3792550902787776,7.0,0.55
anxiety,9.769375267028808,15.052945341544953,7.0,0.55
bothered,9.41230339050293,-7.6559888977583315,7.0,0.55
calm,-24.18395233154297,11.117369651794434,11.0,0.9
calmer,-23.900602874755858,6.624863896888885,7.0,0.55
calming,-22.01460510253906,1.823240603881684,7.0,0.55
comfortable,-23.128249702453612,4.777050971984863,7.0,0.55
comforting,-15.570783195495606,-4.60831144861618,7.444444444444445,0.5888888888888889
confident,-21.63131782531738,10.432487862369612,7.444444444444445,0.5888888888888889
cool,-15.172643241882325,-3.929234777015838,7.0,0.55
distracted,9.133994102478027,-5.104417324066162,7.444444444444445,0.5888888888888889
easier,-12.959730987548829,-7.2233052253723145,7.0,0.55
effective,-6.800539855957031,-5.207911014556885,7.0,0.55
engaged,-2.503713766733805,-9.092917442321777,7.888888888888889,0.6277777777777778
excellent,-18.563013610839842,6.054476533455047,7.0,0.55
extremely_nervous,11.256052436828613,17.075085435432587,7.0,0.55
fine,-3.269676265716553,-10.194867338615266,7.0,0.55
good,-16.273216247558594,-3.1919870376586914,10.11111111111111,0.8222222222222222
happy,-21.74851852416992,10.117910589652864,7.0,0.55
helpful,-10.783546180725098,-8.747807877323226,7.444444444444445,0.5888888888888889
interesting,-6.80004316329956,7.59506293721756,7.444444444444445,0.5888888888888889
less_anxious,6.643590393066406,14.88309172205368,7.444444444444445,0.5888888888888889
like,-9.972098236083985,-5.759815216064453,7.0,0.55
liked,-15.77248785018921,-2.5995344093056483,7.888888888888889,0.6277777777777778
little_bothered,10.23772346496582,-0.25499168038368225,7.0,0.55
little_worried,14.208385581970214,11.19611930847168,7.0,0.55
monotonous,-0.8278019404411315,-11.552202020210418,7.0,0.55
nervous,11.433513641357422,15.10315227508545,7.888888888888889,0.6277777777777778
peaceful,-19.764729232788085,6.27774895932396,7.444444444444445,0.5888888888888889
perfect,-8.343783912658692,-4.226309980827179,7.0,0.55
pleasant,-23.565132675170897,4.958763803916779,7.888888888888889,0.6277777777777778
positive,-15.56981632232666,0.6578175852088168,7.444444444444445,0.5888888888888889
relax,-6.324060802459717,-13.794636726379395,7.888888888888889,0.6277777777777778
relaxed,-6.717019557952881,-13.466442426045736,8.777777777777779,0.7055555555555556
relaxing,-8.615771026611329,-13.325973885318831,10.555555555555555,0.8611111111111112
repetitive,7.99908203125,-6.195133958381805,7.0,0.55
serene,-12.609018211364747,-5.226686477661133,7.0,0.55
some_anxiety,7.34315055847168,13.596551145988313,7.0,0.55
tiresome,0.15142712235450748,-12.842983995002898,7.0,0.55
trust,-10.660229740142823,-0.8180347084999084,7.0,0.55
tune_out,-8.08049732208252,-12.859101090950164,8.333333333333334,0.6666666666666667
useful,-8.708964080810548,-7.303532021305161,7.0,0.55
valuable,-12.779483375549317,4.206783022361603,7.0,0.55
very relaxing,-23.814156112670897,2.9343862872544855,7.0,0.55
very_nervous,11.195007743835449,15.210998330635222,7.444444444444445,0.5888888888888889
zen,-4.911804084777832,-6.159219741821289,7.0,0.55
