"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",0.1045,0.0443565102324338,0,2.35591121691961,6.99999999999998,0.0506450378552109
"Exp_Condition1",-0.0600454545454547,0.0509002346192778,0,-1.17966950436636,15.2412545235223,0.256218026036683
"Exp_Condition2",-0.0300384615384616,0.0560989985038601,0,-0.535454506133379,14.9612277867528,0.600205298058406
"Labelneu",0.065875,0.138111166081634,0,0.476970847969404,7,0.647913909149173
"Labelpos",0.62075,0.132018498433255,0,4.70199257957651,7,0.0022033831338246
"Exp_Condition1:Labelneu",-0.0861477272727271,0.140309739940064,0,-0.613982516891035,15.2412545235223,0.548282494857101
"Exp_Condition2:Labelneu",-0.0554134615384614,0.148938412788386,0,-0.372056211027263,14.9612277867528,0.715068045069715
"Exp_Condition1:Labelpos",0.266159090909091,0.142396442155304,0,1.86914143977563,15.2412545235224,0.0809421092702452
"Exp_Condition2:Labelpos",0.145326923076923,0.157668323077723,0,0.92172555805825,14.9612277867529,0.371296947243269
