word,x_plot,y_plot,label_size,alpha
acceptable,0.041675407,-0.3516727197941213,7.0,0.55
amusing,0.01958992,-0.20975631065925648,7.0,0.55
anxiety,0.21300565,0.07797528580090102,7.0,0.55
bit_bothered,0.15655687,-0.16122090816497803,7.0,0.55
bit_worried,0.14847477,-0.09499678760766983,7.0,0.55
bothered,0.17661089,-0.2740040678556829,7.0,0.55
calm,-0.18677576,0.3663032352924347,11.0,0.9
calmer,-0.16347757,0.18963727764526317,7.0,0.55
calming,-0.19704995,0.4514202732618719,7.0,0.55
comfortable,-0.20869312,-0.017421625554561594,7.0,0.55
comforting,-0.22878097,0.14771670066079196,7.444444444444445,0.5888888888888889
confident,-0.017781937,-0.16070368681232478,7.444444444444445,0.5888888888888889
cool,0.010462329,-0.018978950006160178,7.0,0.55
distracted,0.1519142,-0.09158839285373686,7.444444444444445,0.5888888888888889
easier,-0.1559939,-0.11445669829845428,7.0,0.55
effective,-0.061034195,-0.2643701732158661,7.0,0.55
engaged,-0.010277447,-0.18874754011631012,7.888888888888889,0.6277777777777778
excellent,-0.043160122,-0.3854127485330968,7.0,0.55
extremely_nervous,0.23112507,-0.17283819206317952,7.0,0.55
fine,-0.03330707,-0.2745226282652288,7.0,0.55
good,-0.09667275,-0.3344844877719879,10.11111111111111,0.8222222222222222
happy,-0.09430385,-0.04632187299171392,7.0,0.55
helpful,-0.1259438,-0.21615101601798983,7.444444444444445,0.5888888888888889
interesting,0.057346996,-0.15650922469535772,7.444444444444445,0.5888888888888889
less_anxious,0.16821052,-0.07599986493846468,7.444444444444445,0.5888888888888889
like,-0.06764155,-0.37434762716293335,7.0,0.55
liked,-0.06764155,-0.3223860880347058,7.888888888888889,0.6277777777777778
monotonous,-0.00020623454,-0.008352164549025931,7.0,0.55
nervous,0.116528265,-0.07284143567085265,7.888888888888889,0.6277777777777778
peaceful,-0.16605252,0.07526891138275121,7.444444444444445,0.5888888888888889
perfect,-0.07946121,-0.30530060418209126,7.0,0.55
pleasant,-0.15847014,-0.045812432092818656,7.888888888888889,0.6277777777777778
positive,-0.05695081,-0.2142330577584073,7.444444444444445,0.5888888888888889
relax,-0.21191527,0.2660606801509857,7.888888888888889,0.6277777777777778
relaxed,-0.19278109,0.12609010934829715,8.777777777777779,0.7055555555555556
relaxing,-0.20802736,0.3557976016787723,10.555555555555555,0.8611111111111112
repetitive,0.026675565,-0.038900781792792716,7.0,0.55
serene,-0.08043385,0.05925918370485306,7.0,0.55
some_anxiety,0.18839048,0.07009896599015292,7.0,0.55
tiresome,0.1515589,0.005883786457386575,7.0,0.55
trust,-0.071915835,-0.2556286156177521,7.0,0.55
tune_out,-0.038033724,0.12155738622209128,8.333333333333334,0.6666666666666667
useful,-0.08655885,-0.23680533673484774,7.0,0.55
valuable,-0.024158053,-0.16573289446273748,7.0,0.55
very relaxing,-0.23156275,0.13959533385673473,7.0,0.55
very_nervous,0.17915495,-0.15100625120362332,7.444444444444445,0.5888888888888889
zen,0.061845873,-0.16077274084091187,7.0,0.55
