"condition","n_words","distress_extremes","non_distress_words","distress_pct","relief_extremes","non_relief_words","relief_pct"
"3",30,7,23,23.3333333333333,10,20,33.3333333333333
"2",57,3,54,5.26315789473684,20,37,35.0877192982456
"1",48,2,46,4.16666666666667,25,23,52.0833333333333
