"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",-6.58596467971802,2.10317549277682,0,-3.13143848544117,4.17699625252234,0.0331150493877987
"condition1",-6.18786966439448,2.24911283645589,0,-2.75124909879809,10.0097069457815,0.0204172440861047
"condition2",-5.7864438869335,2.66830880334532,0,-2.16858104267351,8.84884510696591,0.0587529944636255
