"comparison","p_mixed_CR2","p_mixed_CR2_bonferroni","p_lm_CR2","p_lm_CR2_bonferroni"
"1 vs 2",0.380868362121034,1,0.421795037723621,1
"1 vs ref",0.00342105288194064,0.0102631586458219,0.00353332260363897,0.0105999678109169
"2 vs ref",0.0387963785439638,0.116389135631891,0.0329858176949512,0.0989574530848536
