"comparison","p_mixed_CR2","p_mixed_CR2_bonferroni","p_lm_CR2","p_lm_CR2_bonferroni"
"1 vs 2",0.371569380739012,1,0.37156938073901,1
"1 vs ref",0.000571271195246479,0.00171381358573944,0.000571271195246453,0.00171381358573936
"2 vs ref",0.00671562877631536,0.0201468863289461,0.00671562877631514,0.0201468863289454
