"comparison","p_mixed_CR2","p_lm_CR2"
"1 vs 2",0.0291929252294709,0.0291929252294709
"1 vs ref",0.000612959602280371,0.000612959602280395
"2 vs ref",0.085153757524013,0.0851537575240145
