word,condition,x,y,frequency,point_size,label_size,alpha,x_plot,y_plot
relaxed,1,-0.19278109,0.12609011,1,80.0,7.0,0.55,-0.19278109,0.12609010934829712
relaxed,2,-0.19278109,0.12609011,5,177.77777777777777,8.777777777777779,0.7055555555555556,-0.19278109,0.23001315780242976
relaxed,3,-0.19278109,0.12609011,1,80.0,7.0,0.55,-0.19278109,0.022167060894164523
relaxing,1,-0.20802736,0.30383608,9,275.55555555555554,10.555555555555555,0.8611111111111112,-0.20802736,0.30383607745170593
relaxing,2,-0.20802736,0.30383608,2,104.44444444444444,7.444444444444445,0.5888888888888889,-0.20802736,0.40775912590583857
repetitive,2,0.026675565,-0.14282383,1,80.0,7.0,0.55,0.026675565,-0.038900781792792716
serene,1,-0.08043385,0.059259184,1,80.0,7.0,0.55,-0.08043385,0.05925918370485306
some_anxiety,2,0.18839048,-0.033824082,1,80.0,7.0,0.55,0.18839048,0.07009896599015292
tiresome,2,0.1515589,-0.09803926,1,80.0,7.0,0.55,0.1515589,0.005883786457386575
trust,2,-0.07191583,-0.25562862,1,80.0,7.0,0.55,-0.07191583,-0.15170556716361944
trust,3,-0.071915835,-0.25562862,1,80.0,7.0,0.55,-0.071915835,-0.35955166407188466
tune_out,2,-0.038033724,0.017634338,4,153.33333333333331,8.333333333333334,0.6666666666666667,-0.038033724,0.12155738622209128
useful,1,-0.08655885,-0.28876686,1,80.0,7.0,0.55,-0.08655885,-0.28876686096191406
useful,2,-0.086558856,-0.28876686,1,80.0,7.0,0.55,-0.086558856,-0.18484381250778142
valuable,2,-0.024158053,-0.26965594,1,80.0,7.0,0.55,-0.024158053,-0.16573289446273748
very relaxing,3,-0.23156275,0.24351838,1,80.0,7.0,0.55,-0.23156275,0.13959533385673473
very_nervous,3,0.17915495,-0.047083203,2,104.44444444444444,7.444444444444445,0.5888888888888889,0.17915495,-0.15100625120362332
zen,1,0.061845873,-0.16077274,1,80.0,7.0,0.55,0.061845873,-0.16077274084091187
