"comparison","tail","condition_a","condition_b","p_value","odds_ratio","conf_low","conf_high","bonferroni_p_value"
"1_vs_3","relief","1","3",0.0193752522860643,0.304922970046622,0.102152422115164,0.860870847960755,0.0581257568581928
"2_vs_3","relief","2","3",0.368047744848938,0.64326943484861,0.22567614966522,1.75332702936601,1
"1_vs_2","relief","1","2",0.0775075314417433,0.472216369064233,0.198242639726888,1.10103596505465,0.23252259432523
