"comparison","p_mixed_CR2","p_lm_CR2"
"1 vs 2",0.825930111142715,0.825930111142715
"1 vs ref",0.00593684793296197,0.00593684793296234
"2 vs ref",0.0301145057069409,0.0301145057069415
