"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",-0.101968529075384,0.0497929278823748,0,-2.04785164102547,4.17699625252234,0.106989976047518
"condition1",-0.211258204507105,0.0616665686600612,0,-3.42581416637064,10.0097069457816,0.00647483436315216
"condition2",-0.103350694660373,0.060034030679231,0,-1.72153516082551,8.84884510696598,0.119833164560759
