"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",-6.58596467971801,2.10317549277681,0,-3.13143848544118,4.17699625252234,0.0331150493877983
"condition1",-6.1878696643945,2.24911283645588,0,-2.75124909879811,10.0097069457816,0.020417244086104
"condition2",-5.78644388693351,2.66830880334532,0,-2.16858104267351,8.84884510696597,0.0587529944636244
