"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",-15.745812674224,4.80264138194579,0,-3.27857348112978,4.61541170495095,0.0247363687193336
"condition1",-12.8931330382272,4.80329232536147,0,-2.68422826779692,10.6735254754014,0.0217561079591829
"condition2",-6.64725338947205,5.59834572343924,0,-1.18736028781524,9.65245873046618,0.263483243385235
