"comparison","tail","condition_a","condition_b","p_value","odds_ratio","conf_low","conf_high","bonferroni_p_value"
"1_vs_3","relief","1","3",0.159945871231633,0.464645006964072,0.15817773217987,1.30154530870856,0.479837613694899
"2_vs_3","relief","2","3",1,0.925856362996842,0.321296315535144,2.57080238612522,1
"1_vs_2","relief","1","2",0.112995996005728,0.500691691120107,0.210462679283533,1.17134905137565,0.338987988017185
