"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",-15.3257682800293,4.70650088215067,0,-3.25629776000935,4.17699625252234,0.0292829356488743
"condition1",-13.6971439477169,4.70704507219869,0,-2.90992411111944,10.0097069457815,0.0155518151709189
"condition2",-7.30496125397859,5.51036360067013,0,-1.3256768125229,8.84884510696591,0.218148886030039
