"condition","n","mean","SE","t_crit","lower","upper"
"3",7,0.137971276215482,0.0488091075849289,2.44691185114497,0.0185396924221102,0.257402860008855
"1",11,0.248422181264405,0.0281135573006163,2.22813885198627,0.185781271975359,0.31106309055345
"2",13,0.157591740750868,0.0290718491617075,2.17881282966723,0.0942496228151892,0.220933858686547
