"comparison","p_mixed_CR2","p_mixed_CR2_bonferroni","p_lm_CR2","p_lm_CR2_bonferroni"
"1 vs 2",0.187631332761321,0.562893998283964,0.187631332761321,0.562893998283963
"1 vs ref",0.0139928000175,0.0419784000524999,0.0139928000174997,0.041978400052499
"2 vs ref",0.20078034656193,0.60234103968579,0.200780346561927,0.602341039685782
