"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",0.137971276215483,0.0488091075849289,0,2.82675269109171,6,0.0300858738626253
"condition1",0.110450905048922,0.0563267351027218,0,1.96089663012591,12.9255319148937,0.0718014403832485
"condition2",0.0196204645353856,0.0568111027609765,0,0.345363205110372,12.4031007751939,0.73560804814008
