"comparison","p_mixed_CR2","p_lm_CR2"
"1 vs 2",0.02515045710991,0.0257613691979125
"1 vs ref",0.00577132175876647,0.00361516525254504
"2 vs ref",0.230908564553107,0.184946771092722
