"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",-19.7488997755678,4.28253677952478,0,-4.61149566070026,6,0.00364773206308041
"condition1",-9.30736520418324,4.28291906077558,0,-2.17313590850298,13.0445859872612,0.0487774226188635
"condition2",-3.13301525445752,5.15447188054492,0,-0.607824686420891,12.6869009584664,0.554028838786183
