"condition","n","mean","SE","t_crit","lower","upper"
"3",7,-19.7488997755678,4.28253677952478,2.44691185114497,-30.2278897743512,-9.26990977678439
"1",9,-29.056264979751,0.0572224883440634,2.30600413520417,-29.1882202744991,-28.9243096850029
"2",12,-22.8819150300253,2.86852908288305,2.20098516009164,-29.1955049727422,-16.5683250873084
