"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",-0.343779384688266,0.0877454966226245,0,-3.91791485512688,4.17699625252234,0.0158997250640622
"condition1",-0.333622947621369,0.107017439409331,0,-3.11746337291153,9.16453931664086,0.0121035298104305
"condition2",-0.15711571956123,0.120252813689481,0,-1.30654505903651,8.71045165180109,0.224808976178929
