"comparison","p_mixed_CR2","p_mixed_CR2_bonferroni","p_lm_CR2","p_lm_CR2_bonferroni"
"1 vs 2",0.0851943931056486,0.255583179316946,0.0851943931056475,0.255583179316943
"1 vs ref",0.00182414611714549,0.00547243835143647,0.00182414611714527,0.00547243835143581
"2 vs ref",0.191367266340903,0.574101799022708,0.191367266340894,0.574101799022682
