word,x_plot,y_plot,label_size,alpha
acceptable,0.10805127020457227,-1.1697024108585756,7.0,0.55
amusing,0.7419122986903597,-1.9160083140458541,7.0,0.55
anxiety,0.4296544571057155,0.2632124426022991,7.0,0.55
bit_bothered,0.06196866844644723,-1.309339305871968,7.0,0.55
bit_worried,-0.13587837781492282,-0.8896762750258379,7.0,0.55
bothered,0.10476051735676002,-1.505355651278398,7.0,0.55
calm,-0.8828467203775158,4.479410547007962,11.0,0.9
calmer,-0.027877248508701484,1.0500979716640615,7.0,0.55
calming,-0.9759507398701275,1.2576777446916707,7.0,0.55
comfortable,-0.757865680607197,-0.977666522378522,7.0,0.55
comforting,-0.12756378270861632,-0.8738565533249172,7.444444444444445,0.5888888888888889
confident,-1.1595053605411034,-0.12719283081465627,7.444444444444445,0.5888888888888889
cool,-0.6418325186006196,0.1348869439658081,7.0,0.55
distracted,0.051631053323898425,-1.051256253048874,7.444444444444445,0.5888888888888889
easier,-0.7968892427273796,-2.0612237941132805,7.0,0.55
effective,-1.1482288807983734,-1.2552757358053166,7.0,0.55
engaged,0.06830583876030871,-1.3031186056972006,7.888888888888889,0.6277777777777778
excellent,-0.6532688870111708,-1.9894574925588067,7.0,0.55
extremely_nervous,0.2740561685577524,-0.37507294957419574,7.0,0.55
fine,-0.1187815347268897,-1.717021738856942,7.0,0.55
good,-0.7787997772437039,-1.4297559793886663,10.11111111111111,0.8222222222222222
happy,-0.4206411090227768,-0.8941345551376214,7.0,0.55
helpful,-0.7261358103757418,-2.1166922969965882,7.444444444444445,0.5888888888888889
interesting,0.40911800309111246,-2.547482491091909,7.444444444444445,0.5888888888888889
less_anxious,0.1028437433992918,-0.689766715637015,7.444444444444445,0.5888888888888889
like,-0.3935505624960501,-1.716068599438146,7.0,0.55
liked,-0.3935505624960502,-1.66410707521108,7.888888888888889,0.6277777777777778
monotonous,0.6890701734053513,-1.0334624967932124,7.0,0.55
nervous,0.22079541889208212,0.28857602565832696,7.888888888888889,0.6277777777777778
peaceful,-0.7956988212265128,1.716730942690784,7.444444444444445,0.5888888888888889
perfect,-0.2780413611403368,-1.0202480344809453,7.0,0.55
pleasant,-0.7755248043980663,-0.9773423079053962,7.888888888888889,0.6277777777777778
positive,-1.089504039367531,-0.9993677155496821,7.444444444444445,0.5888888888888889
relax,-1.1260787922979942,-0.6179090749659907,7.888888888888889,0.6277777777777778
relaxed,-1.4516291799375647,0.22366571192725027,8.777777777777779,0.7055555555555556
relaxing,-0.8818773692049191,-1.1082811711394638,10.555555555555555,0.8611111111111112
repetitive,0.8537557554387639,-2.099289353330539,7.0,0.55
serene,0.26806418744396954,1.3942824346226939,7.0,0.55
some_anxiety,-0.006716898979528847,-0.5291709140451535,7.0,0.55
tiresome,0.9512740581448054,-1.760412876909074,7.0,0.55
trust,-0.8859071160225909,-1.119773404008253,7.0,0.55
tune_out,-0.19798662422005386,-1.075620396599143,8.333333333333334,0.6666666666666667
useful,-0.08541292196107172,-2.6266734543211996,7.0,0.55
valuable,0.12664934041691428,-2.8685976333818286,7.0,0.55
very relaxing,-0.41295972120113505,-1.2343684653487166,7.0,0.55
very_nervous,0.1383766602140563,-0.509959110413185,7.444444444444445,0.5888888888888889
zen,0.18092596307443717,-0.9728533124958468,7.0,0.55
